"id","retoure_reason"
"100594b0-4aed-9aa1-e381-52d02905c7a8",10
"1009077b-110e-4010-b211-527137fdc0c2",10
"100a77c5-b15f-b5df-5a67-5134fed5a219",14
"100b0edd-f658-02e2-dac7-52d7eb5bcf8b",10
"100bfbd8-61c7-939e-984d-52c6f72ee312",10
"100c3488-a966-c40d-5099-52d532ff3903",10
"101157a9-4853-8e15-615e-5298d49c18e6",10
"1011cba2-723d-84ce-8c7a-50f5b5e5837a",67
"10138e12-75cb-7063-0bf0-52c5313cbdb6",10
"1014f724-c61a-6a61-a508-51da94f1a7fd",17
"1017201b-5018-4297-d6af-52948bac24c9",10
"101aa06e-6ca3-668e-f47b-527a4273edbd",10
"101b24f1-e4a1-0c9e-cecb-528e3aafbd18",10
"101ba401-7255-0d63-47ea-52b062bfcdf7",10
"101c4330-52cb-30eb-a062-525ea1a2c532",10
"101de225-465f-9a1b-45a8-528ba45b223b",10
"101e03b2-e013-b6e2-e4cf-529c4b7fcd6d",10
"101f7a3f-fe46-b3b4-bfba-52d962864d4b",10
"10246488-39ff-38c0-fdf9-52a5fd979e60",10
"1024ffd5-a28a-b9c9-ddde-52790570ee68",10
"1025ff59-32af-41e5-62f0-50aa72fe8498",13
"10260a1b-5af4-5272-a561-5270e71f5bd6",10
"102745e5-6f14-302c-ab1e-5284ecf4c148",10
"102b89b6-cb1c-b608-dfca-526f8b359a86",10
"102c2853-66a6-3f7f-0c3d-511bf1eacf90",16
"102d5c98-cf98-6146-59db-50c8e28dec06",634
"102db2aa-a009-621a-cdda-52ce8b94eff2",10
"102fc5c8-6c03-ad44-9808-525c0c8bee16",10
"10303f0a-ae19-141f-42a0-51dab43d0144",74
"1036c109-efa3-7c84-d683-5249944c8a27",10
"1038e00c-d963-f38b-d3f2-5231f9929537",83
"10394b6f-fd71-19a6-bce8-5277a16a9d87",10
"1039544f-677c-af9e-b9a9-5147727e8c90",14
"103af715-0e02-7cc8-8307-5265493c0f02",10
"103aff09-cb23-8306-7aab-51a87b7cfd38",41
"103ec9e4-1355-c2fb-3de2-528b952f2a8c",10
"103fa558-c555-19b2-6c30-52b8226a60c2",10
"10413df7-07de-ac98-88c5-52b45300acef",10
"10435372-6cc4-5873-8815-52ab4491c536",10
"104359b9-f22e-b3f2-e76a-52a7350119b4",10
"10459599-9283-7d15-38ab-5162a33fea6b",478
"104690e3-db7c-718e-70e1-524aa8bcc739",83
"1046c863-3a19-4c15-ce4f-516c194914d5",14
"10476ab1-91fa-f81a-53f2-52cd8eff6623",10
"104ac196-bdb6-e88a-c55b-52726b06191c",10
"104be9ae-2030-d230-172f-52ab4091d37a",10
"104c5017-3731-38c7-b589-527290cae18f",10
"104d47df-e42f-20b5-e7a3-52714cb16dc9",10
"1050fcf5-02b2-7b9b-b5ad-528f81560644",10
"1051868d-eb8d-eea4-a878-519154501221",17
"1052c4f4-ef69-505e-22cf-52cd589fd8e9",10
"1055bd2a-d105-dc44-17df-52693904a85e",10
"1056ab6c-10a9-11aa-4ec3-50aa710bfac4",57
"105ba878-f08a-a8bf-8e3c-52cc149a29c2",10
"105c57a9-55ad-de79-8fb1-51fbd3a3ff48",18
"105da046-f86a-0100-bcb6-52a0b0ba5851",10
"105dafcf-b11a-c601-3810-5208edf4f1e4",17
"106131a9-304c-2e10-a3c9-518d601ad842",15
"1061b195-600a-cd7d-64cb-50ca342a6c20",67
"1062f8b1-1da8-91db-4f49-528e1f8de8cb",10
"1063c749-82bb-5701-7fb4-52bdb27ffa4f",110
"1067366a-9750-e39b-115f-5284a33c8b8f","x1"
"10687780-8312-3015-4363-51f27dc4213f",47
"106a55af-7ee6-56e2-dc5a-52a9f4c33445",10
"106c11e9-61f1-69d9-8424-5265693ef283",10
"106c77e4-4eed-24ca-da47-528b27a548d4",10
"106fe444-5bee-7430-d945-51f6602578bc",16
"10740550-c91f-1db6-6d6a-50aa6c1f317b",75
"10747180-8336-0c31-815c-51993da7068b",16
"1075021f-3a30-2c57-7ade-515506d787ab",14
"10754dfa-d23e-fe8b-42ba-525bf86d2bd9",10
"107782b2-dd31-009d-1483-52caaba74df0",10
"107f7371-286e-8b35-db2a-52a0568cb19c",10
"10800b9b-4faf-0695-e43f-519e841d200e",12
"10801904-f641-3517-5f4b-5295e69df771",10
"10808000-f843-f422-9101-518a1344679b",36
"10812402-ee97-6c43-57fa-5294cd329a90",10
"1081b051-d1d4-5207-07e2-51a74ab4a6db",41
"10829f0c-3af0-9905-36c8-52ab41472678",10
"10839fc3-b64d-d40a-36f4-50fd9eb06c1e",43
"1085b5eb-d781-9c72-5103-5252b7450880",41
"10861e41-3d83-2b31-6782-51adf2daf1ba",24
"10862704-a711-0dde-eb8a-524e9cb56f88",10
"1086adb7-823a-ccd6-ad56-511d42d6e9ae",15
"1086e23d-824c-d232-b6c5-526e27f50e75",10
"1086e605-9dc6-f482-b213-525cfcbbbb94",10
"108a3b55-b980-88cd-797b-5162a5efbc73",15
"108dd116-648c-881f-6566-526805bd24ee",10
"108eeea6-c619-5a5e-dfd6-52c1a29ef4aa",10
"108f8964-2e21-51c0-028f-52b06fc11f76",10
"108fc8aa-8789-c48c-4178-51f683990c00",14
"1093c215-f733-62c1-808c-51cd4d23c86d",71
"1094265b-5feb-89a4-d51c-51f276042cf5",28
"10990339-6c18-b501-a42e-51e63dfa89bc",76
"109ba6cc-4211-114d-c25d-50f9aa84f48c",15
"109c008d-d314-f98f-dd24-52cae486f644",10
"109d99a4-a8f1-ae74-1fe2-52667c33b81e",10
"10a2d3aa-bbbd-a581-35a6-52cc1ad3c34e",10
"10a36bb7-2c00-41a0-a835-528cec546012",10
"10a399a7-b9f8-fea8-9754-523c57867d90",10
"10a408a7-8405-fd38-6e1b-525442ceb48a",10
"10a6810b-6364-04e6-bae6-51e3bd275e45",17
"10a6822d-3b0d-f11c-43e2-524bebd70c80",10
"10a7a04e-56ca-de5d-3447-5256978d0140",10
"10a8ebc1-bce3-0c17-0a6e-5284b7a97080",10
"10ab25ab-586b-52ad-c134-528609e51438",10
"10ab88eb-08f2-0554-470e-526a547734e3",10
"10ae15fe-80c1-b3b3-910b-51540f8c44e0",34
"10ae70f6-0b39-fb9e-e3a9-51af5d4bccd3",84
"10ae8398-be52-d197-7b78-5174f3ae90fe",45
"10aecc2f-baca-aa32-ab0b-528cf397c908",10
"10af0a45-ccc7-3132-f257-51e903e8e8f2",24
"10aff2ed-713b-6dee-0958-525c1d58824a",10
"10b1eb72-6cab-37a8-0eca-52a1b339e11c",10
"10b40662-210e-3b06-eaa4-528e3148a9c5",10
"10b505c1-cb29-68fa-0b96-5255231a5d92",10
"10b516b4-3e15-b089-1c05-52b883e62824",10
"10b541aa-245c-7a27-0cd6-5267ccbc5730",10
"10b78278-8dee-92f3-6249-50c0f9203feb",467
"10b78928-753c-ba5b-be83-5286511bb042",10
"10b8eeff-7d08-0cbe-c271-515e9e984c4d",15
"10b9babb-3564-a5c7-1876-51f64e794376",57
"10bbd327-184a-eb23-1c47-52af282e6f9c",10
"10bc7f22-3890-5291-2137-5182b88d5cd0",28
"10bddfcc-fa15-6e94-b034-50f9aad8e4ba",67
"10bf935d-c304-294c-1a45-529e1e08076d",18
"10bff8b5-34a6-9d72-89e8-5268fe537d72",10
"10c040bb-0bec-671e-6081-5277c2431367",10
"10c1e510-f2e7-1bc4-03a8-50c79190d65f",467
"10c1ed57-fe27-aa02-299c-52cc3a09e289",10
"10c252b9-4aa1-cd70-63ae-52c6ea410b1e",10
"10c37502-3702-4aa9-fe7f-5110133e3875",16
"10c3dc40-7fd7-6a1e-a5c7-52d814c852c6",10
"10c6470d-ba22-3ad7-67fd-5277ade49f08",10
"10c8c2d9-4128-dca8-0270-52cc454e3117",10
"10c95295-7d6e-66b1-8df2-529ca77fcf84",10
"10ca4564-1ed2-573f-f243-52caad09189c",10
"10ca5160-893f-eda3-fa95-52652c2d9c27",10
"10cddcf9-3a29-d032-9ae3-5295d5c5398e",10
"10ce32ea-7e73-9868-a904-51dbc6562b93",18
"10cf519f-c095-d867-5e0d-52d670652c06",10
"10cfde7a-cd85-0534-f61a-52445e3a145b",10
"10d05a9f-5d55-f99b-5621-526a8dc15874",10
"10d2e4a0-55ba-18d6-d9f9-51267d9541d6",18
